"","time","strain","disease","sample","weeks","background","group","otherGroup","comparison","color"
"12WK_R62_1","12WK","R62","HD","12WK_R62_1",12,"R","R62_12","R62_12WK","R62_12","#FF0000"
"12WK_R62_2","12WK","R62","HD","12WK_R62_2",12,"R","R62_12","R62_12WK","R62_12","#FF0000"
"12WK_R62_3","12WK","R62","HD","12WK_R62_3",12,"R","R62_12","R62_12WK","R62_12","#FF0000"
"12WK_R62_4","12WK","R62","HD","12WK_R62_4",12,"R","R62_12","R62_12WK","R62_12","#FF0000"
"12WK_R62_5","12WK","R62","HD","12WK_R62_5",12,"R","R62_12","R62_12WK","R62_12","#FF0000"
"12WK_R62_6","12WK","R62","HD","12WK_R62_6",12,"R","R62_12","R62_12WK","R62_12","#FF0000"
"12WK_R62_7","12WK","R62","HD","12WK_R62_7",12,"R","R62_12","R62_12WK","R62_12","#FF0000"
"12WK_WT_1","12WK","WT","Control","12WK_WT_1",12,"R","WT_12","WT_12WK","WT_12","#0000FF"
"12WK_WT_2","12WK","WT","Control","12WK_WT_2",12,"R","WT_12","WT_12WK","WT_12","#0000FF"
"12WK_WT_3","12WK","WT","Control","12WK_WT_3",12,"R","WT_12","WT_12WK","WT_12","#0000FF"
"12WK_WT_4","12WK","WT","Control","12WK_WT_4",12,"R","WT_12","WT_12WK","WT_12","#0000FF"
"12WK_WT_5","12WK","WT","Control","12WK_WT_5",12,"R","WT_12","WT_12WK","WT_12","#0000FF"
"12WK_WT_6","12WK","WT","Control","12WK_WT_6",12,"R","WT_12","WT_12WK","WT_12","#0000FF"
"12WK_WT_7","12WK","WT","Control","12WK_WT_7",12,"R","WT_12","WT_12WK","WT_12","#0000FF"
"1Y_Q175_2","1Y","Q175","HD","1Y_Q175_2",52,"Q","Q175_52","Q175_1Y","Q175_52","#A020F0"
"1Y_Q175_3","1Y","Q175","HD","1Y_Q175_3",52,"Q","Q175_52","Q175_1Y","Q175_52","#A020F0"
"1Y_Q175_4","1Y","Q175","HD","1Y_Q175_4",52,"Q","Q175_52","Q175_1Y","Q175_52","#A020F0"
"1Y_Q175_5","1Y","Q175","HD","1Y_Q175_5",52,"Q","Q175_52","Q175_1Y","Q175_52","#A020F0"
"1Y_Q175_6","1Y","Q175","HD","1Y_Q175_6",52,"Q","Q175_52","Q175_1Y","Q175_52","#A020F0"
"1Y_WT_2","1Y","WT","Control","1Y_WT_2",52,"Q","WT_52","WT_1Y","WT_52","#40E0D0"
"1Y_WT_3","1Y","WT","Control","1Y_WT_3",52,"Q","WT_52","WT_1Y","WT_52","#40E0D0"
"1Y_WT_4","1Y","WT","Control","1Y_WT_4",52,"Q","WT_52","WT_1Y","WT_52","#40E0D0"
"1Y_WT_5","1Y","WT","Control","1Y_WT_5",52,"Q","WT_52","WT_1Y","WT_52","#40E0D0"
"3M_Q175_1","3M","Q175","HD","3M_Q175_1",12,"Q","Q175_12","Q175_3M","Q175_12","#E6E6FA"
"3M_Q175_2","3M","Q175","HD","3M_Q175_2",12,"Q","Q175_12","Q175_3M","Q175_12","#E6E6FA"
"3M_Q175_3","3M","Q175","HD","3M_Q175_3",12,"Q","Q175_12","Q175_3M","Q175_12","#E6E6FA"
"3M_Q175_4","3M","Q175","HD","3M_Q175_4",12,"Q","Q175_12","Q175_3M","Q175_12","#E6E6FA"
"3M_Q175_5","3M","Q175","HD","3M_Q175_5",12,"Q","Q175_12","Q175_3M","Q175_12","#E6E6FA"
"3M_Q175_6","3M","Q175","HD","3M_Q175_6",12,"Q","Q175_12","Q175_3M","Q175_12","#E6E6FA"
"3M_WT_1","3M","WT","Control","3M_WT_1",12,"Q","WT_12","WT_3M","WT_12","#0000FF"
"3M_WT_2","3M","WT","Control","3M_WT_2",12,"Q","WT_12","WT_3M","WT_12","#0000FF"
"3M_WT_3","3M","WT","Control","3M_WT_3",12,"Q","WT_12","WT_3M","WT_12","#0000FF"
"3M_WT_4","3M","WT","Control","3M_WT_4",12,"Q","WT_12","WT_3M","WT_12","#0000FF"
"3M_WT_5","3M","WT","Control","3M_WT_5",12,"Q","WT_12","WT_3M","WT_12","#0000FF"
"3M_WT_6","3M","WT","Control","3M_WT_6",12,"Q","WT_12","WT_3M","WT_12","#0000FF"
"6WK_R62_1","6WK","R62","HD","6WK_R62_1",6,"R","R62_6","R62_6WK","R62_6","#8B0000"
"6WK_R62_2","6WK","R62","HD","6WK_R62_2",6,"R","R62_6","R62_6WK","R62_6","#8B0000"
"6WK_R62_3","6WK","R62","HD","6WK_R62_3",6,"R","R62_6","R62_6WK","R62_6","#8B0000"
"6WK_R62_4","6WK","R62","HD","6WK_R62_4",6,"R","R62_6","R62_6WK","R62_6","#8B0000"
"6WK_R62_5","6WK","R62","HD","6WK_R62_5",6,"R","R62_6","R62_6WK","R62_6","#8B0000"
"6WK_R62_6","6WK","R62","HD","6WK_R62_6",6,"R","R62_6","R62_6WK","R62_6","#8B0000"
"6WK_WT_1","6WK","WT","Control","6WK_WT_1",6,"R","WT_6","WT_6WK","WT_6","#ADD8E6"
"6WK_WT_2","6WK","WT","Control","6WK_WT_2",6,"R","WT_6","WT_6WK","WT_6","#ADD8E6"
"6WK_WT_3","6WK","WT","Control","6WK_WT_3",6,"R","WT_6","WT_6WK","WT_6","#ADD8E6"
"6WK_WT_4","6WK","WT","Control","6WK_WT_4",6,"R","WT_6","WT_6WK","WT_6","#ADD8E6"
"6WK_WT_6","6WK","WT","Control","6WK_WT_6",6,"R","WT_6","WT_6WK","WT_6","#ADD8E6"
